country,Low,Medium,High,Payroll tax,CIT,Redundancy Tax (as % of regular salary),VAT,Sales Tax,Tariff,Lands,Improvements to lands,Movable property,Inheritance tax,Capital Gains Tax,Financial Transaction Tax,Tolls,Crime Fees,Low Tax margin rate,Medium Tax margin rate,Tax government employee,Tax Government beneficiers,Projected,Salary,Working Age,minimum salary,Unemployment benefits as % of average salary,Unemployment benefits duration as year(s),Unemployment benefits strenght,Retirement age,Government pension funding as % of past salary,Projected,Salary (% of average),Projected (needs to execute the law),Salary (% of average),Funding equipment,Free speech,Free press,Free Internet,Free access to education,National library system,Right to fair trial,Free supreme court,Free district courts,Migration policy,Assimilation,Religious Tolerance,Tolerate intolerant,Heavy weapons for police,Personal ID,Opressed document verification,Tax investigations,Funding of healthcare needs,Salary,Starting education age,Ending education age,Number of educational days,Number of child in groups,Teachers salar as % of average salary,Planned Students,Funding research as % of GDP,Natural Resources,Biomedics,Engineering,Information/informatics,Mathematics Economy,Physical sciences,Social sciences,Military,Humanities,Foreign Languages,Artistry,Equipment,Patent rights,Roadways,Highways,Railways,Airports,Navy,Vehicles,Upkeep ratio,Soldiers as % of population,Average salary (yearly,National conscription starting age,National conscroption ending age,Funding equipment as % of GDP,Family allowances per child as % of average income,interest rates,Conventional,Clean,Nuclear,Coal,Copper,Iron,Uranium,Other mining,Petroleum,Natural Gas
"Bolivia","0","65","130","130","250","0","100","0","130","10","0","0","0","0","0","0","50","500","2000","1","1","2","800","12","0","250","500","350","65","200","3","1000","1000","1000","15","1","0","1","1","1","1","1","1","4","1","1","1","1","1","1","1","50","1000","7","15","256","30","1000","50","15","120","120","100","120","120","120","50","100","50","50","50","250","0","2","1","1","0","0","1","1000","1","1000","0","0","0","65","65","600","400","0","0","0","0","0","5","1","10"
"Paraguay","0","0","0","0","300","0","100","0","110","10","0","0","0","0","0","0","50","500","2000","1","1","3","800","12","0","250","500","350","60","250","3","1000","1000","1000","15","1","1","1","1","1","1","1","1","4","1","1","1","1","1","1","1","50","1000","7","14","256","30","1000","60","20","120","120","100","120","120","120","50","100","50","50","50","250","0","3","1","1","0","0","1","1000","1","1000","0","0","0","31","31","0","1000","0","0","0","0","25","5","1","0"
"Uruguay","0","125","250","0","300","0","220","0","110","10","0","0","0","0","0","0","50","500","2000","1","1","2","800","12","0","250","500","350","60","200","3","1000","1000","1000","15","1","1","1","1","1","1","1","1","4","1","1","1","1","1","1","1","50","1000","7","12","256","35","1000","50","10","120","120","100","120","120","120","50","100","50","50","50","250","0","2","1","1","0","0","1","1000","1","1000","0","0","0","31","31","380","620","0","0","0","0","0","5","1","0"
"United Kingdom","0","225","450","70","230","0","200","0","40","10","0","0","0","100","0","100","150","500","2000","1","1","27","1000","16","500","500","1000","700","65","500","4","1000","1000","1000","100","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","500","1000","6","18","256","19","1000","460","50","120","120","100","120","120","120","50","100","50","50","50","1000","2","2","1","1","0","0","1","1000","1","1000","0","0","65","30","30","780","60","160","5","0","0","50","5","20","10"
"Germany","0","225","450","410","300","0","190","0","0","10","0","0","0","100","0","100","150","500","1000","1","1","31","1000","16","500","350","5000","1350","67","750","4","1000","1000","1000","100","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","900","1000","5","19","270","18","1100","304","65","100","150","140","100","150","150","50","50","30","50","30","1100","2","8","8","8","5","5","1","1000","1","1000","0","0","45","10","10","620","200","180","10","0","0","50","5","0","10"
"France","0","250","500","500","330","0","190","0","40","10","0","0","0","100","0","100","150","700","5000","1","1","46","1000","16","500","500","1000","700","65","750","4","1000","1100","1000","80","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","1000","1000","5","19","256","18","1000","365","80","120","120","100","120","120","120","50","100","50","50","50","1000","2","7","5","2","1","1","5","1000","2","1000","0","0","47","10","10","170","130","700","5","0","0","0","5","0","0"
"Italy","230","330","430","0","314","0","210","0","40","10","0","0","0","100","0","100","150","500","2000","1","1","30","1000","16","500","250","1000","450","65","650","3","1000","1000","1000","70","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","750","1000","6","18","256","19","1000","202","40","120","120","100","120","120","120","50","100","50","50","50","950","2","5","3","1","1","1","2","1000","1","1000","0","0","35","10","10","780","220","0","5","0","0","0","0","0","0"
"Spain","0","260","520","100","300","0","210","0","40","10","0","0","0","100","0","100","150","500","2000","1","1","19","900","16","500","500","1000","700","65","400","3","1000","1000","1000","60","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","300","1000","6","18","256","20","1000","310","24","120","120","100","120","120","120","50","100","50","50","50","900","1","5","2","2","1","1","5","1000","1","1000","0","0","32","10","10","500","300","200","5","0","0","50","0","0","0"
"Portugal","0","270","540","240","125","0","230","0","40","10","0","0","0","100","0","100","150","500","2000","1","1","20","900","16","500","500","1000","700","65","600","3","1000","1000","1000","30","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","600","1000","6","18","256","30","1000","183","15","120","120","100","120","120","120","50","100","50","50","50","550","1","2","2","1","1","1","1","1000","1","1000","0","0","27","10","10","480","520","0","0","0","0","0","0","0","0"
"Benelux","250","380","510","0","290","0","210","0","40","10","0","0","0","100","0","100","150","500","2000","1","1","23","1000","16","500","500","1000","700","65","750","3","1000","1000","1000","80","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","950","1000","5","18","256","18","1000","400","25","120","120","100","120","120","120","50","100","50","50","50","1000","2","3","2","2","1","2","1","1000","1","1000","0","0","55","10","10","680","70","250","0","0","0","0","0","0","20"
"Switzerland","0","65","130","0","250","0","80","0","0","10","0","0","0","100","0","100","150","500","2000","1","1","20","1000","16","500","500","1000","700","65","200","3","1000","1000","1000","80","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","100","1000","7","18","256","20","1000","340","20","120","120","100","120","120","120","50","100","50","50","50","900","2","2","1","1","0","0","1","1000","1","1000","18","18","2","20","20","20","580","400","0","0","0","0","0","0","0"
"Austria","210","355","500","0","250","0","200","0","40","10","0","0","0","100","0","100","150","500","2000","1","1","26","1000","16","500","600","2000","700","65","750","4","1000","1000","1000","80","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","900","1000","5","18","256","20","1000","265","65","120","120","100","120","120","120","50","100","50","50","50","1000","2","2","1","1","0","0","1","1000","2","1000","18","18","50","10","10","300","700","0","0","0","5","0","0","0","0"
"Denmark","370","450","530","70","215","0","250","0","40","10","0","0","0","100","0","100","150","500","2000","1","1","29","1000","16","500","500","1000","700","65","750","3","1000","1000","1000","80","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","900","1000","5","18","256","18","1000","452","55","120","120","150","120","120","120","50","20","80","50","50","1000","2","2","1","1","0","0","1","1000","1","1000","18","18","60","2","3","730","270","0","0","0","0","0","0","5","0"
"Sweden","0","285","570","320","220","0","250","0","40","10","0","0","0","100","0","100","150","500","2000","1","1","34","1000","16","500","500","1000","700","65","750","3","1000","1000","1000","80","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","950","1000","5","18","256","18","1000","390","70","120","120","100","120","120","120","50","100","50","50","50","1000","2","5","5","2","1","1","2","1000","1","1000","0","0","70","15","15","0","600","400","0","0","10","50","5","0","0"
"Norway","0","240","480","100","280","0","250","0","30","10","0","0","0","100","0","100","150","500","2000","1","1","25","1000","16","500","500","1000","700","65","700","3","1000","1000","1000","80","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","700","1000","7","18","256","20","1000","370","20","120","120","100","120","120","120","50","100","50","50","50","1000","2","2","1","1","0","0","1","1000","1","1000","18","18","60","15","15","40","960","0","0","0","5","0","5","25","30"
"Finland","60","60","60","500","260","0","240","0","40","10","0","0","0","100","0","100","150","500","2000","1","1","34","1000","16","500","500","1000","700","65","500","3","1000","1000","1000","80","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","900","1000","5","18","256","15","1000","450","75","120","120","100","120","120","120","50","100","50","50","50","1200","2","5","2","5","0","1","2","1000","1","1000","18","18","70","10","10","380","310","310","0","0","0","25","0","0","0"
"Poland","0","160","320","410","190","0","210","0","180","10","0","0","0","100","0","100","250","500","2000","1","1","20","900","16","250","250","500","350","65","500","3","1000","1000","1000","15","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","100","1000","6","18","256","30","1000","280","10","120","120","100","120","120","120","50","100","50","50","50","350","1","2","1","1","0","0","1","1000","1","1000","0","0","22","50","50","940","60","0","20","5","5","0","5","0","0"
"Czech Republic","0","75","150","480","210","0","210","0","50","10","0","0","0","100","0","100","150","500","2000","1","1","18","900","16","250","250","500","350","62","500","3","1000","1000","1000","20","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","350","1000","7","18","256","20","1000","195","10","120","120","100","120","120","120","50","100","50","50","50","500","1","4","2","1","0","0","1","1000","1","1000","0","0","22","10","10","580","90","330","5","0","0","25","5","0","0"
"Slovakia","0","95","190","300","230","0","200","0","40","10","0","0","0","100","0","100","150","500","2000","1","1","20","900","16","250","250","500","350","65","300","3","1000","1000","1000","20","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","150","1000","6","18","256","30","1000","163","20","120","120","100","120","120","120","50","100","50","50","50","600","1","2","1","1","0","0","1","1000","1","1000","0","0","2","10","10","260","200","540","0","0","0","25","0","0","0"
"Hungary","160","180","200","370","190","0","270","0","110","10","0","0","0","100","0","100","150","500","2000","1","1","20","900","16","250","250","500","350","62","300","3","1000","1000","1000","20","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","400","1000","6","18","256","30","1000","216","10","120","120","100","120","120","120","50","100","50","50","50","500","1","3","2","1","0","0","5","1000","1","1000","0","0","20","55","55","490","80","430","5","0","0","25","5","0","0"
"Romania","0","80","160","450","160","0","240","0","40","10","0","0","0","100","0","100","150","500","2000","1","1","20","900","16","250","250","500","350","62","500","3","1000","1000","1000","20","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","200","1000","7","18","256","30","1000","120","10","120","120","100","120","120","120","50","100","50","50","50","250","1","2","1","1","0","0","1","1000","1","1000","0","0","22","10","10","540","270","190","5","0","0","25","0","0","5"
"Bulgaria","0","50","100","0","100","0","200","0","110","10","0","0","0","100","0","100","150","500","2000","1","1","20","900","16","250","250","500","350","63","500","3","1000","1000","1000","20","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","300","1000","7","18","256","30","1000","150","10","120","120","100","120","120","120","50","100","50","50","50","250","1","2","1","1","0","0","1","1000","1","1000","0","0","12","10","10","530","150","320","5","0","0","0","0","0","0"
"Greece","0","225","450","440","250","0","230","0","40","10","0","0","0","100","0","100","150","500","2000","1","1","20","900","16","250","500","1000","700","65","300","3","1000","1000","1000","50","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","200","1000","7","18","256","35","1000","221","10","120","120","100","120","120","120","50","100","50","50","50","500","1","2","1","1","0","0","1","1000","1","1000","18","18","5","10","10","870","130","0","0","0","5","0","0","0","0"
"Balkans","133","183","232","282","133","0","200","0","40","10","0","0","0","100","0","100","150","500","2000","1","1","20","900","12","250","250","500","350","65","200","3","1000","1000","1000","30","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","50","1000","7","18","256","35","1000","100","10","120","120","100","120","120","120","50","100","50","50","50","250","1","2","1","1","0","0","1","1000","1","1000","0","0","0","10","10","750","250","0","0","0","5","25","5","0","0"
"Baltic countries","190","215","220","340","170","0","207","0","40","10","0","0","0","100","0","100","150","500","2000","1","1","20","900","16","250","250","500","350","62","500","4","1000","1000","1000","50","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","400","1000","6","18","256","20","1000","340","50","120","120","100","120","120","120","50","100","50","50","50","350","1","3","2","2","1","1","2","1000","1","1000","18","18","2","10","10","770","230","0","0","0","0","50","0","0","0"
"Ireland","0","205","410","110","125","0","230","0","40","10","0","0","0","100","0","100","150","500","2000","1","1","20","1000","16","500","500","1000","600","65","600","3","1000","1000","1000","40","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","500","1000","6","18","256","20","1000","340","30","120","120","100","120","120","120","50","100","50","50","50","900","2","2","1","1","0","0","1","1000","1","1000","0","0","10","10","10","900","100","0","0","0","0","0","0","0","0"
"Russia","125","125","125","345","177","0","193","0","100","10","0","0","0","0","0","50","50","500","2000","1","1","20","600","12","0","250","500","350","60","200","3","1000","1000","1000","50","0","1","1","1","1","1","0","1","2","1","1","1","1","1","1","1","50","1000","7","12","256","35","1000","190","20","120","120","100","120","120","120","50","100","50","50","50","150","0","2","1","1","0","0","1","1000","1","1000","18","18","30","90","90","630","170","200","50","60","50","50","120","145","210"
"Turkey","92","177","262","210","167","0","187","0","120","10","0","0","0","0","0","0","50","500","2000","1","1","3","800","12","0","250","500","350","60","150","3","1000","1000","1000","20","1","1","1","1","1","0","0","1","3","1","0","1","0","1","1","1","50","1000","7","12","256","35","1000","140","4","120","120","100","120","120","120","50","100","50","50","50","150","0","2","1","1","0","0","1","1000","1","1000","18","18","15","70","70","730","270","0","20","0","5","25","10","20","10"
"Arab countries","1","1","1","0","200","0","0","0","50","10","0","0","0","0","0","0","50","500","2000","1","1","5","500","9","0","0","0","0","60","200","3","1000","1000","1000","10","0","0","1","1","0","0","0","0","3","1","0","1","0","0","1","1","50","1000","7","12","256","40","1000","20","5","120","120","100","120","120","120","50","100","50","50","50","150","0","2","1","1","0","0","1","1000","1","1000","0","0","0","31","31","990","10","0","0","0","0","0","10","300","105"
"Iran","0","175","350","350","250","0","50","0","150","10","0","0","0","0","0","0","50","500","2000","1","1","5","400","9","0","0","0","0","65","200","3","1000","1000","1000","50","0","0","1","1","0","0","0","0","3","1","0","1","1","1","1","1","50","1000","7","12","256","40","1000","10","10","120","120","100","120","120","120","50","100","50","50","50","100","0","2","1","1","0","0","1","1000","1","1000","0","0","0","31","31","800","200","0","0","0","10","0","10","50","40"
"Pakistan","80","215","350","0","350","0","160","0","150","10","0","0","0","0","0","0","50","500","2000","1","1","5","400","9","0","0","0","0","55","250","3","1000","1000","1000","50","0","0","1","1","0","0","0","0","3","1","0","1","1","1","1","1","50","1000","7","12","256","40","1000","50","85","120","120","100","120","120","120","50","100","50","50","50","100","0","4","2","2","1","1","2","1000","1","1000","0","0","0","100","100","660","300","40","0","0","0","0","10","5","10"
"India","0","145","290","100","375","0","128","0","150","10","0","0","0","0","0","0","50","500","2000","1","1","8","400","9","0","0","0","0","58","200","3","1000","1000","1000","80","1","1","1","1","0","1","1","1","3","1","0","1","1","1","1","1","50","1000","7","12","256","38","1000","50","50","120","120","100","120","120","120","50","100","50","50","50","600","0","5","5","5","1","1","2","1000","1","1000","0","0","0","68","68","820","140","40","70","0","80","50","100","10","25"
"China","50","175","300","400","205","0","110","0","110","10","0","0","0","0","0","0","50","500","2000","1","1","11","500","9","0","250","500","350","60","200","4","1000","1000","1000","150","0","0","1","1","1","0","0","0","3","1","0","1","1","1","1","1","50","1000","7","12","256","40","1000","45","40","110","100","110","110","110","110","30","230","30","30","30","500","0","10","10","10","1","4","10","1000","1","1000","0","0","0","17","17","800","180","20","500","80","450","50","150","50","30"
"Indochina","47","177","307","0","207","0","85","0","120","10","0","0","0","0","0","0","50","500","2000","1","1","10","400","9","0","250","500","350","57","300","3","1000","1000","1000","10","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","100","1000","7","12","256","40","1000","10","20","120","120","100","120","120","120","50","100","50","50","50","200","0","2","1","1","0","0","1","1000","1","1000","18","18","0","17","17","520","480","0","0","0","0","0","10","1","30"
"Japan","50","275","500","250","400","0","50","0","30","10","0","0","0","0","0","0","50","500","2000","1","1","40","1000","16","500","660","3000","1260","65","750","4","1000","1000","1000","80","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","700","1000","5","18","256","20","1000","470","30","120","120","100","120","120","120","50","100","50","50","50","1000","2","5","5","5","1","1","1","1000","1","1000","0","0","37","1","1","730","90","180","0","0","0","0","10","1","0"
"South Korea","60","220","380","0","200","0","100","0","150","10","0","0","0","0","0","0","50","500","2000","1","1","35","1000","16","500","500","2000","900","60","200","3","1000","1000","1000","80","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","200","1000","7","18","256","20","1000","400","20","120","120","100","120","120","120","50","100","50","50","50","1000","2","2","1","1","0","0","1","1000","1","1000","18","18","2","17","17","640","10","350","0","0","0","0","10","0","0"
"Central Asia","50","105","160","110","157","0","160","0","50","10","0","0","0","0","0","0","50","500","2000","1","1","10","400","9","0","300","500","350","62","250","3","1000","1000","1000","50","1","1","1","1","0","1","1","1","2","1","1","1","0","1","1","1","100","1000","7","12","256","40","1000","20","10","120","120","100","120","120","120","50","100","50","50","50","250","0","10","5","5","1","0","2","1000","2","1000","18","18","0","17","17","630","370","0","0","0","10","50","50","30","40"
"Indonesia","50","180","310","0","275","0","110","0","60","10","0","0","0","0","0","0","50","500","2000","1","1","10","400","9","0","250","500","350","55","250","3","1000","1000","1000","10","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","100","1000","7","12","256","30","1000","30","30","120","120","100","120","120","120","50","100","50","50","50","250","0","2","1","1","0","0","1","1000","1","1000","18","18","0","31","31","770","230","0","50","80","0","0","10","10","20"
"Australia","0","225","450","150","300","0","100","0","20","10","0","0","0","0","0","0","50","500","2000","1","1","35","1000","16","500","600","1500","700","65","500","3","1000","1000","1000","100","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","500","1000","7","18","256","20","1000","450","25","120","120","100","120","120","120","50","100","50","50","50","900","2","5","2","2","1","1","2","1000","1","1000","0","0","95","1","1","900","100","0","60","80","160","50","100","10","10"
"New Zaeland","110","220","330","0","280","0","150","0","10","10","0","0","0","0","0","0","50","500","2000","1","1","20","1000","16","500","500","1000","700","65","600","3","1000","1000","1000","80","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","700","1000","6","18","256","20","1000","450","40","120","120","100","120","120","120","50","100","50","50","50","1000","0","2","1","1","0","0","1","1000","1","1000","0","0","30","25","25","230","770","0","0","0","0","50","10","1","0"
"Oceania","150","225","300","0","300","0","150","0","10","10","0","0","0","0","0","0","50","500","2000","1","1","15","1000","16","0","500","1000","700","65","600","3","1000","1000","1000","50","1","1","1","1","1","1","1","1","2","1","1","1","0","1","1","1","550","1000","7","18","256","20","1000","350","30","120","120","100","120","120","120","50","100","50","50","50","900","2","4","2","2","1","1","2","1000","1","1000","0","0","2","31","31","460","540","0","0","0","0","0","80","0","0"
"Arabian Africa","100","210","320","0","247","0","160","0","200","10","0","0","0","0","0","0","50","500","2000","1","1","10","400","9","0","0","0","0","60","200","3","1000","1000","1000","10","0","0","1","1","0","0","0","0","3","1","0","1","0","0","1","1","50","1000","7","12","256","40","1000","10","5","120","120","100","120","120","120","50","100","50","50","50","50","0","2","1","1","0","0","1","1000","1","1000","18","18","0","31","31","940","60","0","0","0","0","0","20","20","55"
"Central Africa","57","216","375","30","297","0","143","0","140","10","0","0","0","0","0","0","50","500","2000","1","1","10","400","9","0","0","0","0","60","200","3","1000","1000","1000","10","0","0","1","1","0","1","0","0","3","1","0","1","0","0","1","1","50","1000","7","7","256","40","1000","10","0","120","120","100","120","120","120","50","100","50","50","50","50","0","2","1","1","0","0","1","1000","1","1000","0","0","0","31","31","350","650","0","0","0","0","50","20","35","10"
"South Africa","55","200","345","0","307","0","140","0","150","10","0","0","0","0","0","0","50","500","2000","1","1","10","400","9","0","0","0","0","62","200","3","1000","1000","1000","10","0","0","1","1","0","1","0","0","3","1","0","1","0","0","1","1","50","1000","7","8","256","35","1000","10","0","120","120","100","120","120","120","50","100","50","50","50","50","0","2","1","1","0","0","1","1000","1","1000","0","0","0","31","31","290","700","10","38","10","20","50","60","10","0"
