Population by age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
"25","56","56","62","62","68","68","68","73","73","73","79","79","85","85","85","90","90","96","96","102","107","113","113","119","125","125","130","125","125","125","119","119","119","113","113","113","113","107","102","102","102","102","96","96","90","85","79","73","68","62","56","51","45","39","39","34","34","28","22","22","17","17","11","11","5","5","2","2","0","0","0","0","0","0","0","0"
"26","419","419","461","461","503","503","503","545","545","545","587","587","629","629","629","671","671","713","713","755","797","839","839","881","923","923","965","923","923","923","881","881","881","839","839","839","839","797","755","755","755","755","713","713","671","629","587","545","503","461","419","377","335","293","293","251","251","209","167","167","125","125","83","83","41","41","20","20","0","0","0","0","0","0","0","0"
"27","111","111","122","122","133","133","133","144","144","144","156","156","167","167","167","178","178","189","189","200","211","222","222","234","245","245","256","245","245","245","234","234","234","222","222","222","222","211","200","200","200","200","189","189","178","167","156","144","133","122","111","100","89","78","78","66","66","55","44","44","33","33","22","22","11","11","5","5","0","0","0","0","0","0","0","0"
"28","59","59","64","64","70","70","70","76","76","76","82","82","88","88","88","94","94","100","100","106","112","118","118","123","129","129","135","129","129","129","123","123","123","118","118","118","118","112","106","106","106","106","100","100","94","88","82","76","70","64","59","53","47","41","41","35","35","29","23","23","17","17","11","11","5","5","2","2","0","0","0","0","0","0","0","0"
"29","109","109","120","120","131","131","131","142","142","142","153","153","163","163","163","174","174","185","185","196","207","218","218","229","240","240","251","240","240","240","229","229","229","218","218","218","218","207","196","196","196","196","185","185","174","163","153","142","131","120","109","98","87","76","76","65","65","54","43","43","32","32","21","21","10","10","5","5","0","0","0","0","0","0","0","0"
"30","239","239","263","263","287","287","287","311","311","311","335","335","359","359","359","382","382","406","406","430","454","478","478","502","526","526","550","526","526","526","502","502","502","478","478","478","478","454","430","430","430","430","406","406","382","359","335","311","287","263","239","215","191","167","167","143","143","119","95","95","71","71","47","47","23","23","11","11","0","0","0","0","0","0","0","0"
"31","77","77","85","85","93","93","93","100","100","100","108","108","116","116","116","124","124","131","131","139","147","155","155","162","170","170","178","170","170","170","162","162","162","155","155","155","155","147","139","139","139","139","131","131","124","116","108","100","93","85","77","69","62","54","54","46","46","38","31","31","23","23","15","15","7","7","3","3","0","0","0","0","0","0","0","0"
"32","118","118","129","129","141","141","141","153","153","153","165","165","177","177","177","188","188","200","200","212","224","236","236","247","259","259","271","259","259","259","247","247","247","236","236","236","236","224","212","212","212","212","200","200","188","177","165","153","141","129","118","106","94","82","82","70","70","59","47","47","35","35","23","23","11","11","5","5","0","0","0","0","0","0","0","0"
"33","684","684","684","684","667","667","650","633","633","615","598","581","564","547","530","513","496","479","461","461","444","427","427","410","410","393","393","376","376","376","359","359","359","342","342","342","342","325","307","307","307","307","290","290","273","256","239","222","205","188","171","153","136","119","119","102","102","85","68","68","51","51","34","34","17","17","8","8","0","0","0","0","0","0","0","0"
"34","115","115","127","127","139","139","139","150","150","150","162","162","173","173","173","185","185","196","196","208","220","231","231","243","254","254","266","254","254","254","243","243","243","231","231","231","231","220","208","208","208","208","196","196","185","173","162","150","139","127","115","104","92","81","81","69","69","57","46","46","34","34","23","23","11","11","5","5","0","0","0","0","0","0","0","0"
"35","50","50","55","55","60","60","60","65","65","65","70","70","75","75","75","80","80","85","85","90","95","100","100","105","110","110","115","110","110","110","105","105","105","100","100","100","100","95","90","90","90","90","85","85","80","75","70","65","60","55","50","45","40","35","35","30","30","25","20","20","15","15","10","10","5","5","2","2","0","0","0","0","0","0","0","0"
"36","2124","2124","2337","2337","2549","2549","2549","2761","2761","2761","2974","2974","3186","3186","3186","3399","3399","3611","3611","3824","4036","4249","4249","4461","4674","4674","4886","4674","4674","4674","4461","4461","4461","4249","4249","4249","4249","4036","3824","3824","3824","3824","3611","3611","3399","3186","2974","2761","2549","2337","2124","1912","1699","1487","1487","1274","1274","1062","849","849","637","637","424","424","212","212","106","106","0","0","0","0","0","0","0","0"
"37","2943","2943","2943","2943","2870","2870","2796","2723","2723","2649","2575","2502","2428","2355","2281","2207","2134","2060","1987","1987","1913","1839","1839","1766","1766","1692","1692","1619","1619","1619","1545","1545","1545","1471","1471","1471","1471","1398","1324","1324","1324","1324","1251","1251","1177","1103","1030","956","883","809","735","662","588","515","515","441","441","367","294","294","220","220","147","147","73","73","36","36","0","0","0","0","0","0","0","0"
"38","2294","2294","2294","2294","2237","2237","2180","2122","2122","2065","2008","1950","1893","1835","1778","1721","1663","1606","1549","1549","1491","1434","1434","1376","1376","1319","1319","1262","1262","1262","1204","1204","1204","1147","1147","1147","1147","1090","1032","1032","1032","1032","975","975","917","860","803","745","688","631","573","516","458","401","401","344","344","286","229","229","172","172","114","114","57","57","28","28","0","0","0","0","0","0","0","0"
"39","3141","3141","3141","3141","3063","3063","2984","2905","2905","2827","2748","2670","2591","2513","2434","2356","2277","2199","2120","2120","2042","1963","1963","1884","1884","1806","1806","1727","1727","1727","1649","1649","1649","1570","1570","1570","1570","1492","1413","1413","1413","1413","1335","1335","1256","1178","1099","1021","942","863","785","706","628","549","549","471","471","392","314","314","235","235","157","157","78","78","39","39","0","0","0","0","0","0","0","0"
"40","5356","5356","5356","5356","5223","5223","5089","4955","4955","4821","4687","4553","4419","4285","4151","4017","3883","3749","3615","3615","3482","3348","3348","3214","3214","3080","3080","2946","2946","2946","2812","2812","2812","2678","2678","2678","2678","2544","2410","2410","2410","2410","2276","2276","2142","2008","1874","1741","1607","1473","1339","1205","1071","937","937","803","803","669","535","535","401","401","267","267","133","133","66","66","0","0","0","0","0","0","0","0"
"41","40852","40852","40852","40852","39831","39831","38809","37788","37788","36767","35745","34724","33703","32682","31660","30639","29618","28596","27575","27575","26554","25532","25532","24511","24511","23490","23490","22468","22468","22468","21447","21447","21447","20426","20426","20426","20426","19404","18383","18383","18383","18383","17362","17362","16341","15319","14298","13277","12255","11234","10213","9191","8170","7149","7149","6127","6127","5106","4085","4085","3063","3063","2042","2042","1021","1021","510","510","0","0","0","0","0","0","0","0"
"42","41592","41592","41592","41592","40553","40553","39513","38473","38473","37433","36393","35353","34314","33274","32234","31194","30154","29115","28075","28075","27035","25995","25995","24955","24955","23915","23915","22876","22876","22876","21836","21836","21836","20796","20796","20796","20796","19756","18716","18716","18716","18716","17676","17676","16637","15597","14557","13517","12477","11438","10398","9358","8318","7278","7278","6238","6238","5199","4159","4159","3119","3119","2079","2079","1039","1039","519","519","0","0","0","0","0","0","0","0"
"43","9879","9879","9879","9879","9632","9632","9385","9138","9138","8891","8644","8397","8150","7903","7656","7409","7162","6915","6668","6668","6421","6174","6174","5927","5927","5680","5680","5433","5433","5433","5186","5186","5186","4939","4939","4939","4939","4692","4445","4445","4445","4445","4198","4198","3951","3704","3457","3210","2963","2716","2469","2222","1975","1728","1728","1481","1481","1234","987","987","740","740","493","493","246","246","123","123","0","0","0","0","0","0","0","0"
"44","1393","1393","1532","1532","1672","1672","1672","1811","1811","1811","1950","1950","2090","2090","2090","2229","2229","2368","2368","2508","2647","2786","2786","2926","3065","3065","3204","3065","3065","3065","2926","2926","2926","2786","2786","2786","2786","2647","2508","2508","2508","2508","2368","2368","2229","2090","1950","1811","1672","1532","1393","1254","1114","975","975","836","836","696","557","557","418","418","278","278","139","139","69","69","0","0","0","0","0","0","0","0"
"45","531","531","584","584","637","637","637","690","690","690","743","743","796","796","796","849","849","902","902","956","1009","1062","1062","1115","1168","1168","1221","1168","1168","1168","1115","1115","1115","1062","1062","1062","1062","1009","956","956","956","956","902","902","849","796","743","690","637","584","531","478","424","371","371","318","318","265","212","212","159","159","106","106","53","53","26","26","0","0","0","0","0","0","0","0"
"46","3811","3811","3811","3811","3715","3715","3620","3525","3525","3430","3334","3239","3144","3048","2953","2858","2763","2667","2572","2572","2477","2382","2382","2286","2286","2191","2191","2096","2096","2096","2000","2000","2000","1905","1905","1905","1905","1810","1715","1715","1715","1715","1619","1619","1524","1429","1333","1238","1143","1048","952","857","762","666","666","571","571","476","381","381","285","285","190","190","95","95","47","47","0","0","0","0","0","0","0","0"
"47","8000","8000","8000","8000","7800","7800","7600","7400","7400","7200","7000","6800","6600","6400","6200","6000","5800","5600","5400","5400","5200","5000","5000","4800","4800","4600","4600","4400","4400","4400","4200","4200","4200","4000","4000","4000","4000","3800","3600","3600","3600","3600","3400","3400","3200","3000","2800","2600","2400","2200","2000","1800","1600","1400","1400","1200","1200","1000","800","800","600","600","400","400","200","200","100","100","0","0","0","0","0","0","0","0"
"48","234","234","258","258","281","281","281","305","305","305","328","328","352","352","352","375","375","399","399","422","446","469","469","493","516","516","540","516","516","516","493","493","493","469","469","469","469","446","422","422","422","422","399","399","375","352","328","305","281","258","234","211","187","164","164","140","140","117","93","93","70","70","46","46","23","23","11","11","0","0","0","0","0","0","0","0"
"49","45","45","50","50","55","55","55","59","59","59","64","64","68","68","68","73","73","78","78","82","87","91","91","96","100","100","105","100","100","100","96","96","96","91","91","91","91","87","82","82","82","82","78","78","73","68","64","59","55","50","45","41","36","32","32","27","27","22","18","18","13","13","9","9","4","4","2","2","0","0","0","0","0","0","0","0"
"50","651","651","716","716","781","781","781","846","846","846","911","911","977","977","977","1042","1042","1107","1107","1172","1237","1302","1302","1367","1433","1433","1498","1433","1433","1433","1367","1367","1367","1302","1302","1302","1302","1237","1172","1172","1172","1172","1107","1107","1042","977","911","846","781","716","651","586","521","455","455","390","390","325","260","260","195","195","130","130","65","65","32","32","0","0","0","0","0","0","0","0"
"51","4820","4820","4820","4820","4699","4699","4579","4458","4458","4338","4217","4097","3976","3856","3735","3615","3494","3374","3253","3253","3133","3012","3012","2892","2892","2771","2771","2651","2651","2651","2530","2530","2530","2410","2410","2410","2410","2289","2169","2169","2169","2169","2048","2048","1928","1807","1687","1566","1446","1325","1205","1084","964","843","843","723","723","602","482","482","361","361","241","241","120","120","60","60","0","0","0","0","0","0","0","0"
"52","18961","18961","18961","18961","18487","18487","18013","17539","17539","17065","16591","16117","15643","15169","14695","14221","13747","13273","12799","12799","12325","11851","11851","11376","11376","10902","10902","10428","10428","10428","9954","9954","9954","9480","9480","9480","9480","9006","8532","8532","8532","8532","8058","8058","7584","7110","6636","6162","5688","5214","4740","4266","3792","3318","3318","2844","2844","2370","1896","1896","1422","1422","948","948","474","474","237","237","0","0","0","0","0","0","0","0"
"53","4474","4474","4474","4474","4363","4363","4251","4139","4139","4027","3915","3803","3691","3579","3468","3356","3244","3132","3020","3020","2908","2796","2796","2684","2684","2573","2573","2461","2461","2461","2349","2349","2349","2237","2237","2237","2237","2125","2013","2013","2013","2013","1901","1901","1789","1678","1566","1454","1342","1230","1118","1006","894","783","783","671","671","559","447","447","335","335","223","223","111","111","55","55","0","0","0","0","0","0","0","0"
