country,Total Receipts,GDP,Investments,Net wages,Average Salary,Consumer Confidence Index,Pension net capital,Corruption,Crime Rate,Imprisoned population,Equipment capital,Health condition,Natural Resources,Biomedics,Engineering,Information/informatics,Mathematics Economy,Physical sciences,Social sciences,Military,Humanities,Foreign Languages,Artistry,Educated population,Roads,Techn.,Highways,Techn.,Rail,Techn.,Airports,Techn.,Docks,Techn.,Units,Techn.,Equipment capital,Housing units,Inflation,National Debt,Debt interest rate,Majątek pracowników,Majątek przed.,Wartość krajowych spółek giełdowych,family Values,m0
"Bolivia","34928,9565669574","166685,04","55452,9324797907","38091,2012098887","12529,3129617441","60","211752,234499998","0,2","0,089","0,0025047154","8329,3287389705","0,23139357","81","81","81","81","81","81","81","81","81","81","81","0,331120944","16138","76","1","76","2866","76","1","76","0","76","20957,6","76","73046,6788161586","308309","0,072","55156,079736","0,072","1743,4910811127","58333,8250132562","301107,560975791","0,75","30867600000"
"Paraguay","4962,5529626277","22891","7889,0678670863","4668,7469710453","2520,6549948543","60","38262,9603221789","0,25","0,115","0,0028795205","1021,5141112088","0,2270375158","81","81","81","81","81","81","81","81","81","81","81","0,2053539823","29500","76","1","76","36","76","1","76","0","76","28046,2","76","8609,8566314409","261768","0,014","2599,95978","0,014","176,0051837292","6654,3843437405","47935,0305654403","0,75","1990000000000"
"Uruguay","7595,2982889636","46711","17853,7411679316","8535,7459488648","8775,0008343754","60","78078,7706788388","0,35","0,2","0,004524807","821,9614906434","0,2264635368","81","81","81","81","81","81","81","81","81","81","81","0,1075663717","77732","76","1","76","2993","76","2","76","0","76","61640","76","7599,973120209","968986","0,014","25077,26746","0,014","340,3832299005","14787,4408097006","96768,005452835","0,75","1990000000000"
"United Kingdom","338432,735893372","1106279,1696","219076,158767657","438482,472418528","14195,1084325963","60","2109071,80557296","0,024","0,012","0,0005958406","79125,4043489649","0,8278049065","100","100","100","100","100","100","100","100","100","100","100","18,2664961749","394428","95","3519","95","16321","95","64","95","100","95","161805","95","1420399,88639316","24500413","0,024","999124,969232544","0,024","963806,240999181","1674736,94754825","2267606,71617363","0,2","165941875400"
"Germany","853790,041070306","2428776,7079","538264,171390048","803507,349249777","22538,8142905106","60","3663470,3012777","0,016","0,008","0,0004688247","195496,557811437","0,9236565473","100","100","100","100","100","100","100","100","100","100","100","15,9921731148","1044480","97","55600","97","87679","99","255","97","155","95","595398,8","97","3391664,39168832","18245981","0,018","1990722,54086316","0,018","1945900,90578059","2972768,77214167","4262988,08851769","0,35","364316506200"
"France","815229,099451735","1885936,7799","357910,749773107","634934,829997441","19788,1477997401","60","2938167,36648673","0,022","0,011","0,0005052081","116184,128585205","0,7950505172","98","98","98","98","98","98","98","98","98","98","98","15,2966666667","951200","93","11100","93","29901","93","77","93","96","93","178139,6","93","2087117,15807578","24354131","0,018","1702831,17793951","0,018","1624351,24924092","2093740,86387928","3285430,89220933","0,2","293979803000"
"Italy","563604,073683965","1485830,8936","280027,117446045","558887,927367101","17620,0218093334","60","2323194,56499713","0,018","0,009","0,0003753169","89785,6371725229","0,6866963153","95","95","95","95","95","95","95","95","95","95","95","7,118949071","487700","90","6700","90","24179","90","13","90","20","90","212658","90","1069757,03471411","14355222","0,018","1886678,35207541","0,018","773598,293665485","1878242,66486953","2655563,52051712","0,4","231398082000"
"Spain","237146,583593336","1001411,3566","224769,559712781","384696,441923779","16808,7703000775","60","1671408,12876606","0,12","0,008","0,0002523966","4671,3123153212","0,6211103845","92","92","92","92","92","92","92","92","92","92","92","9,6872459016","681298","87","15152","87","15064","87","24","87","63","87","187385,6","87","214426,93131102","14187169","0,018","842006,696856412","0,018","377789,956861547","1417411,35578509","1920910,68239088","0,35","157163007600"
"Portugal","42845,1830300811","160109,2054","36403,2056618099","58304,5739014405","11041,3570172266","60","268152,371745184","0,12","0,012","0,0003793638","3927,1336497011","0,5028593283","90","90","90","90","90","90","90","90","90","90","90","1,2631613115","82900","85","2613","85","2842","85","10","85","5","85","165503,4","85","28118,7669421639","3649111","0,018","196910,30626119","0,018","40768,8760606944","231796,778157048","313384,514625333","0,3","26797161620"
"Benelux","316027,996032388","953306,3529","190351,367930478","364791,055169758","27195,9136006653","60","1446861,53614196","0,022","0,011","0,000577918","86421,8135346089","0,8230924292","100","100","100","100","100","100","100","100","100","100","100","7,2644699454","290422","95","4387","95","6409","95","11","95","536","95","166582,1","95","1370807,70205999","9227262","0,018","949493,1274884","0,018","712133,234305251","1409267,56239627","1673416,83499986","0,25","152911961800"
"Switzerland","125724,29488044","615731,0697","117845,33845611","278647,496341546","74129,5723346294","60","847326,329311628","0,014","0,007","0,0003720804","52787,4502950868","0,8536437487","100","100","100","100","100","100","100","100","100","100","100","1,9937748634","71454","95","1790","95","5063","95","17","95","0","95","173208,4","95","1121637,83858429","3040713","0,007","302317,797912003","0,007","593816,538632236","941943,12617222","994298,140473234","0,4","92359660460"
"Austria","102252,710438997","285879,1624","55788,2255309889","107198,663057191","26171,6920377204","60","434120,394134014","0,012","0,006","0,000295628","23334,7763755705","0,7840649896","100","100","100","100","100","100","100","100","100","100","100","1,1704939891","124508","95","1719","95","5927","95","14","95","0","95","172900,2","95","545055,073478317","3339375","0,018","210741,542146408","0,018","223268,227987193","380415,227171546","498395,65904088","0,3","45780218310"
"Denmark","668937,034890241","1958306,71995","385150,188698166","747834,911574461","268093,011247012","60","2443004,18379152","0,018","0,009","0,0004789923","177684,391884517","0,896815384","100","100","100","100","100","100","100","100","100","100","100","1,5209477596","86066","95","1111","95","2667","95","9","95","5","95","169201,8","95","4040778,62154406","1065934","0,028","981150,832829349","0,028","1810607,27413761","2843095,26829188","2992421,11334309","0,25","293746008000"
"Sweden","1318076,04293331","3464725,42515","676290,026880936","1236060,00685739","276792,670832287","60","4313144,9725573","0,02","0,01","0,0005686511","339851,205637007","0,8932163714","100","100","100","100","100","100","100","100","100","100","100","2,4304918033","572900","95","1855","95","12821","95","36","95","5","95","160880,4","95","5537969,9413438","1797743","0,014","1317288,60664203","0,014","3066356,60343455","4570508,1634289","5250105,86041716","0,15","519708813800"
"Norway","905134,214680784","2756080,40232","549113,299151816","1058012,77353899","464670,147159528","60","3408868,89811439","0,012","0,006","0,0002876814","190951,722330295","0,8886718182","100","100","100","100","100","100","100","100","100","100","100","1,3132371585","93509","95","253","95","4114","95","25","95","5","95","178139,6","95","4558836,15965466","1961548","0,024","940319,511663538","0,024","2042800,61054423","3491395,56419042","4104884,62456205","0,25","413412060300"
"Finland","56626,6698001106","177402,1533","35769,4821569866","68624,7854217491","26355,9951352132","60","263834,827203227","0,044","0,022","0,001114955","16540,0505401212","0,8531124469","100","100","100","100","100","100","100","100","100","100","100","1,3641617486","78141","95","739","95","5919","95","14","95","5","95","182146,2","95","372493,252481853","1001534","0,018","94617,438462555","0,018","164706,338822733","243551,199430326","305217,782484327","0,25","29111433850"
"Poland","244859,667867763","1799402,5","460392,488202746","601701,398242288","29241,8590138109","84","1753860,88929304","0,33","0,011","0,000264535","35439,5415653552","0,3512808007","92","92","92","92","92","92","92","92","92","92","92","7,1109245902","423997","87","765","87","19627","87","6","87","2","87","156565,6","87","647847,254098392","13330998","0,026","992658,38315","0,026","195153,473710802","899701,25","2635296,6624833","0,35","293380842400"
"Czech Republic","32488,5393275426","146288,1903","34590,1543900105","54697,7083360182","10201,9719462076","60","249410,154878944","0,2","0,017","0,0005123604","3634,4793140609","0,5312457378","95","95","95","95","95","95","95","95","95","95","95","1,2077803279","127797","90","730","90","9487","90","18","90","0","90","149477","90","150223,617213764","4216085","0,018","63117,502586838","0,018","30038,4521064499","73144,09515","291518,994134838","0,3","23367201030"
"Slovakia","11909,0893838034","64769,2029","16839,6298657768","23070,9411785205","7979,1779298213","60","108030,24267372","0,25","0,015","0,0004097592","1349,1413157246","0,4310711837","90","90","90","90","90","90","90","90","90","90","90","0,6791488525","43761","85","384","85","3658","85","10","85","0","85","107253,6","85","14076,2908033097","1857195","0,018","33895,666953657","0,018","9831,7921004949","32384,60145","126649,289824316","0,3","9184198237"
"Hungary","8040926,72782956","30733473,84","6598977,28555874","12028389,2472935","2289125,45716064","60","37515138,6195492","0,12","0,013","0,0004013405","733384,555444979","0,4994152761","92","92","92","92","92","92","92","92","92","92","92","1,573704918","197519","87","911","87","7942","87","2","87","0","87","92768,2","87","2508105,5875193","3862702","0,049","24280366,3378152","0,049","7256873,48033038","15366736,92","49365446,9876905","0,4","5010892474000"
"Romania","28702,3648181894","127890,0464","30836,4885782076","46771,3288390553","4062,6698528734","60","236881,489288162","0,2","0,02","0,0005805596","3744,0832080712","0,425718152","90","90","90","90","90","90","90","90","90","90","90","1,6730163934","82386","85","371","85","22298","85","1","85","2","85","72427","85","32746,7720032119","7320202","0,018","47367,915385632","0,018","18657,9638094708","63945,0232","273251,069196227","0,35","20094482460"
"Bulgaria","8627,1397539012","36063,0846","8678,2104493388","12963,1762795914","3442,1077606308","60","64672,5815510403","0,2","0,02","0,0005859716","1177,7167494466","0,4376838897","90","90","90","90","90","90","90","90","90","90","90","0,5447213115","40231","85","400","85","4159","85","96","85","2","85","115575","85","10137,8718439949","2921429","0,018","6670,588758462","0,018","5349,3237540443","18031,5423","75196,9819304078","0,35","5584469611"
"Greece","36211,5243295218","201496,7739","55435,5343093438","67444,426030386","12532,7467980652","60","334792,041551282","0,25","0,015","0,0004436971","7507,0333109905","0,4624596599","92","92","92","92","92","92","92","92","92","92","92","1,8416183607","116711","87","948","87","2552","87","9","87","2","87","138998,2","87","70301,9801470194","3664392","0,018","319465,075147494","0,018","30825,5833780648","100748,38695","394706,046781473","0,35","31705614390"
"Balkans","23530,4126208134","143039,3184","47778,1170243631","36378,7287824636","5159,7357661447","60","211083,699784225","0,2","0,019","0,0005416511","6644,6303658034","0,2871599868","90","90","90","90","90","90","90","90","90","90","90","1,3208259587","164843","85","1116","85","10969","85","25","85","2","85","77402,2285714286","85","38115,4427199019","9227262","0,018","91044,5261616","0,018","7505,0730526006","71519,6592","265871,554601504","0,35","21872833470"
"Baltic countries","19445,9153148633","63028,5192","14163,1426615149","22001,9462860271","3940,9292467681","60","140028,934004509","0,15","0,05","0,0016427637","3571,631033496","0,4962555963","92","92","92","92","92","92","92","92","92","92","92","2,7532196721","212139","87","413","87","4851","87","21","87","2","87","152867,2","87","37216,934734799","3339375","0,018","22953,095837064","0,018","11762,3716564999","31514,2596","146797,716063994","0,35","7788500069"
"Ireland","42717,5354711672","148946,7258","30388,2130527466","59004,4855141989","25384,4742954755","60","248442,208339242","0,05","0,012","0,0004377637","4945,2558146823","0,70051301","95","95","95","95","95","95","95","95","95","95","95","1,1712655738","96036","90","1224","90","1919","90","5","90","2","90","167044,4","90","66265,1630584548","1469521","0,018","163841,39838","0,018","77717,0690798729","74473,3629","275314,239767877","0,25","19317575840"
"Russia","10480548,1192458","63135682,0857","14154806,6701782","26405444,2398823","205280,737246767","60","78191656,1859809","0,25","0,102","0,0031081817","3899722,2357719","0,3959864289","92","92","92","92","92","92","92","92","92","92","92","30,3965114754","1246293","87","45000","87","155802","87","221","87","70","87","73968","87","70521331,9145157","17397046","0,067","6867268,14046159","0,067","9793308,3496684","31567841,04285","106665173,357907","0,15","10293861210000"
"Turkey","528324,699610042","2273851,452","712439,66387283","558154,897221921","19078,3235096675","60","3329754,64179808","0,12","0,033","0,0008729624","46642,4328444994","0,249428233","85","85","85","85","85","85","85","90","85","85","85","9,1085899705","532635","80","3113","80","12000","80","21","80","5","80","72118,8","80","1215873,11940917","30140186","0,087","827295,37378116","0,087","107075,810153902","1136925,726","4270150,3478697","0,5","401267903300"
"Arab countries","124999,016723615","1400012","363190,534428815","557390,552703347","14174,6748521935","60","2675659,03165697","0,2","0,03","0,0006784238","11228,5019324162","0,2628368001","80","80","80","80","80","80","80","80","80","80","80","1,1348702065","404553","75","5275","75","3444","75","15","75","92","75","95734,625","75","200092,824311875","8717801","0,014","478678,10292","0,014","113947,634387298","700006","3126486,64262257","0,75","220073178700"
"Iran","103095,480369075","644586","180332,734939864","217781,195027181","3960,3370306672","60","1153101,25710278","0,26","0,03","0,0007190617","52491,7114513822","0,2509983461","80","80","80","80","80","80","80","90","80","80","80","0,7877544248","172927","75","1429","75","11106","75","6","75","5","75","53935","75","177820,441704594","5876606","0,014","69138,29436","0,014","30164,4221015231","322293","1389918,40435742","0,95","94803001090"
"Pakistan","7402056,93356429","20393196,39444","4818079,69767534","5941862,25629455","68118,164834065","60","25042671,8294878","0,156","0,078","0,0021634132","2768958,39370611","0,2501583044","75","75","75","75","75","75","75","85","75","75","75","1,2870029499","260760","70","711","70","7791","70","9","70","2","70","5547,6","70","3124944,23309989","3849516","0,134","12659892,3897044","0,134","711972,805107576","10196598,19722","35582452,7116466","0,95","4078639279000"
"India","26122315,8064067","95767126,4","24017791,0258426","30626229,8785766","44247,357815839","60","118285076,921492","0,2","0,034","0,0008247163","4167920,35175928","0,2559206362","80","80","80","80","80","80","80","85","80","80","80","10,0088643068","4368010","75","20000","75","65000","75","21","75","50","75","15410","75","2076871,20671873","192671808","0,093","64012662,628288","0,093","4041717,08556262","47883563,2","173607672,199712","0,9","17956336200000"
"China","12086865,4116591","50744237,8704","12443796,2455791","18161744,3646894","27426,1702685844","60","66580105,0704196","0,12","0,01","0,0003190526","3101862,10384682","0,298524301","95","95","95","95","95","95","95","96","95","95","95","46,2773230088","4412642","80","85666","80","104896","90","92","85","580","80","36675,8","77","4111737,00466923","187528771","0,05","13193501,846304","0,05","5483109,15147453","25372118,9352","94645493,9937776","0,5","8012248085000"
"Indochina","1869491,29741989","7564709,8288","1907645,28688029","2570706,26515926","16880,1233939189","60","10058459,1072718","0,12","0,06","0,0016734359","123542,768426638","0,2608703187","85","85","85","85","85","85","85","85","85","85","85","2,4055501475","465263","80","450","80","8026","80","21","80","532","80","31700,5714285714","80","655457,150611826","19011207","0,05","3347535,39344058","0,05","580085,2650363","3782354,9144","14139168,0734901","0,7","1215223454000"
"Japan","173350153,87791","515299937,46","115504993,078603","170511793,094029","3067735,78001832","60","629258241,786547","0,038","0,004","0,0002491816","62493732,6779605","0,8232428532","100","100","100","100","100","100","100","100","100","100","100","44,2696721311","1210251","95","7803","95","23474","95","27","95","187","95","181529,8","95","225062756,166046","24096653","-0,007","1225991305,20608","0,0001","306378750,609362","661705235,943183","792048465,222993","0,35","77294990620000"
"South Korea","1778532,35324059","7556545,6912","1613349,81934944","3056444,73905806","137148,293614624","60","10018013,0119697","0,03","0,026","0,0011866008","730151,173485093","0,7728974669","100","100","100","100","100","100","100","100","100","100","100","14,7021639344","103029","95","3367","95","3381","95","22","95","217","95","116807,8","95","8693229,93617915","17183370","0,05","2418094,621184","0,05","4574055,91813584","11565260,1158449","12303244,1343739","0,4","1179207896000"
"Central Asia","676544,187905723","2015208,376","490739,085256354","593793,693071953","9874,5242967771","60","2627193,52030113","0,122","0,061","0,001519611","58664,1303857595","0,2410502072","75","75","75","75","75","75","75","75","75","75","75","1,8979823009","391867","70","1","70","24918","70","22","70","0","70","23775,4285714286","70","394257,6608776","3127106","0,05","248233,36775568","0,05","65548,2634069658","1599214,37719109","3852902,57725494","0,85","286148487100"
"Indonesia","272801,299489694","1071588","285826,600786724","330051,650476686","2740,3251409529","60","2241434,31378453","0,162","0,081","0,002149019","30292,169246008","0,2431987505","75","75","75","75","75","75","75","75","75","75","75","1,922","749631","70","1821","70","8529","70","52","70","10","70","17259,2","70","152317,988310468","7477416","0,014","257223,98352","0,014","37314,2518403093","766480,358634892","2567085,65515315","0,85","148891350500"
"Australia","459923,715496922","1477126,6596","294182,530794925","581184,377693374","54481,0222005642","60","2063573,66198176","0,02","0,01","0,0004806986","104347,265475781","0,7411044122","100","100","100","100","100","100","100","100","100","100","100","6,3038469945","823217","95","1","95","38445","95","14","95","110","95","224986","95","1077945,50808938","7596182","0,029","401172,829480764","0,029","981563,550281604","2107125,07410221","2443139,7984961","0,25","221568998900"
"New Zaeland","56215,0511983757","194704,7463","38160,4493909452","79802,629370817","38258,3545993867","60","289138,061736547","0,018","0,009","0,0004266372","18479,0352160123","0,728579758","100","100","100","100","100","100","100","100","100","100","100","1,3286688525","93911","95","172","95","4128","95","1","95","10","95","221287,6","95","71108,6216740373","1454175","0,026","74287,648903302","0,026","138166,726468177","277244,235621849","338581,652758031","0,25","29205711950"
"Oceania","17219,6391574879","51144","10351,8163638254","19274,511378413","647,6253869394","60","79124,551044988","0,02","0,01","0,0007797855","42855,6699430564","0,4301575852","100","100","100","100","100","100","100","100","100","100","100","16,0952568306","144746","95","1","95","4156","95","3","95","10","95","19211,1333333333","95","68476,4761528735","1596182","0,014","21169,01304","0,014","8895,0468373529","41467,3954374419","91926,4163610791","0,4","5997693753"
"Arabian Africa","149681,735223228","607919","156593,59431152","199179,529368292","2414,8845128793","60","1161835,72916938","0,2","0,059","0,0013400074","15835,2424521374","0,2453996396","77","77","77","77","77","77","77","77","77","77","77","1,191759587","353824","72","1511","72","15962","72","9","72","10","72","34723,8666666667","72","39365,2785660866","989372","0,014","487277,47445","0,014","20034,8458920108","433550,707846853","1394790,81100839","0,95","81895153190"
"Central Africa","269283,935413645","615890","164081,388718104","92610,6722901993","281,3346914518","60","1177069,65440812","0,44","0,22","0,003692145","32233,7514871543","0,218059695","75","75","75","75","75","75","75","75","75","75","75","4,6882684366","1137645","70","1","70","27411","70","15","70","10","70","9211,7555555556","70","68210,5670711716","3892097","0,014","601367,3138","0,014","1294,8846788486","79467,0592606071","1517846,06455566","0,95","68322786200"
"South Africa","183822,713702847","614082","199645,597550542","103475,656161588","1320,2654680547","60","1135163,03050434","0,5","0,3","0,0044807284","19882,5749264837","0,2144231107","75","75","75","75","75","75","75","75","75","75","75","1,1142566372","764442","70","239","70","42856","70","18","70","86","70","18915,775","70","41667,2018055697","918530","0,014","259646,15124","0,014","501,5490879909","56834,4533261598","1591782,34136496","0,95","87227344670"
